Generation 0: Best Individual = [14.345690723537414, 0.7414810276622554], Fitness = 42.69520902925036
Generation 1: Best Individual = [14.345690723537414, 0.7414810276622554], Fitness = 42.69520902925036
Generation 2: Best Individual = [14.345690723537414, 0.7414810276622554], Fitness = 42.69520902925036
Generation 3: Best Individual = [14.345690723537414, 0.7354950853351597], Fitness = 29.201205606238457
Generation 4: Best Individual = [14.345690723537414, 0.7354950853351597], Fitness = 29.201205606238457
Generation 5: Best Individual = [14.345690723537414, 0.7354950853351597], Fitness = 29.201205606238457
Generation 6: Best Individual = [14.345690723537414, 0.7354950853351597], Fitness = 29.201205606238457
Generation 7: Best Individual = [14.345690723537414, 0.7354950853351597], Fitness = 29.201205606238457
Generation 8: Best Individual = [14.345690723537414, 0.7381345666799174], Fitness = 25.802824851288314
Generation 9: Best Individual = [14.345690723537414, 0.7381345666799174], Fitness = 25.802824851288314
Generation 10: Best Individual = [14.345690723537414, 0.7381345666799174], Fitness = 25.802824851288314
Generation 11: Best Individual = [14.345690723537414, 0.7381345666799174], Fitness = 25.802824851288314
Generation 12: Best Individual = [14.345690723537414, 0.7381345666799174], Fitness = 25.802824851288314
Generation 13: Best Individual = [14.345690723537414, 0.7381345666799174], Fitness = 25.802824851288314
Generation 14: Best Individual = [14.345690723537414, 0.7381345666799174], Fitness = 25.802824851288314
Generation 15: Best Individual = [14.345690723537414, 0.7381345666799174], Fitness = 25.802824851288314
Generation 16: Best Individual = [14.345690723537414, 0.7381345666799174], Fitness = 25.802824851288314
Generation 17: Best Individual = [14.345690723537414, 0.7381345666799174], Fitness = 25.802824851288314
Generation 18: Best Individual = [14.345690723537414, 0.7381345666799174], Fitness = 25.802824851288314
Generation 19: Best Individual = [14.345690723537414, 0.7381345666799174], Fitness = 25.802824851288314
Generation 20: Best Individual = [14.345690723537414, 0.7381345666799174], Fitness = 25.802824851288314
Generation 21: Best Individual = [14.345690723537414, 0.7381345666799174], Fitness = 25.802824851288314
Generation 22: Best Individual = [14.345690723537414, 0.7381345666799174], Fitness = 25.802824851288314
Generation 23: Best Individual = [14.345690723537414, 0.7381345666799174], Fitness = 25.802824851288314
Generation 24: Best Individual = [14.345690723537414, 0.7381345666799174], Fitness = 25.802824851288314
Generation 25: Best Individual = [14.345690723537414, 0.7381345666799174], Fitness = 25.802824851288314
Generation 26: Best Individual = [14.345690723537414, 0.7381345666799174], Fitness = 25.802824851288314
Generation 27: Best Individual = [14.345690723537414, 0.7381345666799174], Fitness = 25.802824851288314
Generation 28: Best Individual = [14.345690723537414, 0.7354950853351597], Fitness = 29.201205606238457
Generation 29: Best Individual = [14.345690723537414, 0.7354950853351597], Fitness = 29.201205606238457
Generation 30: Best Individual = [14.345690723537414, 0.7354950853351597], Fitness = 29.201205606238457
Generation 31: Best Individual = [14.345690723537414, 0.7354950853351597], Fitness = 29.201205606238457
Generation 32: Best Individual = [14.345690723537414, 0.7354950853351597], Fitness = 29.201205606238457
Generation 33: Best Individual = [14.227441817491385, 0.7354950853351597], Fitness = 7.224420115485063
Generation 34: Best Individual = [14.227441817491385, 0.7354950853351597], Fitness = 7.224420115485063
Generation 35: Best Individual = [14.227441817491385, 0.7354950853351597], Fitness = 7.224420115485063
Generation 36: Best Individual = [14.227441817491385, 0.7354950853351597], Fitness = 7.224420115485063
Generation 37: Best Individual = [14.227441817491385, 0.7354950853351597], Fitness = 7.224420115485063
Generation 38: Best Individual = [14.227441817491385, 0.7354950853351597], Fitness = 7.224420115485063
Generation 39: Best Individual = [14.227441817491385, 0.7354950853351597], Fitness = 7.224420115485063
Generation 40: Best Individual = [14.227441817491385, 0.7354950853351597], Fitness = 7.224420115485063
Generation 41: Best Individual = [14.227441817491385, 0.7354950853351597], Fitness = 7.224420115485063
Generation 42: Best Individual = [14.227441817491385, 0.7354950853351597], Fitness = 7.224420115485063
Generation 43: Best Individual = [14.227441817491385, 0.7354950853351597], Fitness = 7.224420115485063
Generation 44: Best Individual = [14.227441817491385, 0.7354950853351597], Fitness = 7.224420115485063
Generation 45: Best Individual = [14.227441817491385, 0.7354950853351597], Fitness = 7.224420115485063
Generation 46: Best Individual = [14.227441817491385, 0.7354950853351597], Fitness = 7.224420115485063
Generation 47: Best Individual = [14.227441817491385, 0.7354950853351597], Fitness = 7.224420115485063
Generation 48: Best Individual = [14.227441817491385, 0.7354950853351597], Fitness = 7.224420115485063
Generation 49: Best Individual = [14.227441817491385, 0.7354950853351597], Fitness = 7.224420115485063
Generation 50: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 51: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 52: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 53: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 54: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 55: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 56: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 57: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 58: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 59: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 60: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 61: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 62: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 63: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 64: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 65: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 66: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 67: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 68: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 69: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 70: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 71: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 72: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 73: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 74: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 75: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 76: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 77: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 78: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 79: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 80: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 81: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 82: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 83: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 84: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 85: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 86: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 87: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 88: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 89: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 90: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 91: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 92: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 93: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 94: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 95: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 96: Best Individual = [14.195876187214534, 0.7353311660034082], Fitness = 5.390564680350157
Generation 97: Best Individual = [14.195876187214534, 0.7353311660034082], Fitness = 5.390564680350157
Generation 98: Best Individual = [14.195876187214534, 0.7353311660034082], Fitness = 5.390564680350157
Generation 99: Best Individual = [14.195876187214534, 0.7353311660034082], Fitness = 5.390564680350157
Generation 100: Best Individual = [14.195876187214534, 0.7353311660034082], Fitness = 5.390564680350157
Generation 101: Best Individual = [14.195876187214534, 0.7353311660034082], Fitness = 5.390564680350157
Generation 102: Best Individual = [14.195876187214534, 0.7353311660034082], Fitness = 5.390564680350157
Generation 103: Best Individual = [14.195876187214534, 0.7353311660034082], Fitness = 5.390564680350157
Generation 104: Best Individual = [14.195876187214534, 0.7353311660034082], Fitness = 5.390564680350157
Generation 105: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 106: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 107: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 108: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 109: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 110: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 111: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 112: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 113: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 114: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 115: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 116: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 117: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 118: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 119: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 120: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 121: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 122: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 123: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 124: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 125: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 126: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 127: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 128: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 129: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
